,intersection,sample_text,lat,lon
0,11th-santafe,hyder construction tacos selene denver voice 711 gas is 329 armstrong dance center aztlan sante fe theater swifts breakfeast quin,39.733666666666664,-104.99869444444444
1,11th-santafe,aztlan hyder construction quin nicks studio tacos selene 711 gas is 329,39.733666666666664,-104.99869444444444
2,11th-santafe,aztlan quin armstrong dance center denver works 711 gas is 329 denver voice timeos bar brick building nita sante fe theater,39.733666666666664,-104.99869444444444
3,11th-santafe,hyder construction nicks studio timeos bar tacos selene armstrong dance center sante fe theater denver works quin,39.733666666666664,-104.99869444444444
4,11th-santafe,sante fe theater nicks studio brick building nita 711 gas is 329 armstrong dance center denver voice tacos selene swifts breakfeast timeos bar hyder construction,39.733666666666664,-104.99869444444444
5,11th-santafe,711 gas is 329 tacos selene denver voice denver works sante fe theater swifts breakfeast timeos bar aztlan hyder construction,39.733666666666664,-104.99869444444444
6,11th-santafe,711 gas is 329 brick building nita denver voice timeos bar armstrong dance center tacos selene hyder construction denver works quin nicks studio,39.733666666666664,-104.99869444444444
7,11th-santafe,brick building nita sante fe theater tacos selene 711 gas is 329 nicks studio quin armstrong dance center swifts breakfeast hyder construction,39.733666666666664,-104.99869444444444
8,11th-santafe,sante fe theater brick building nita aztlan quin denver works nicks studio denver voice hyder construction,39.733666666666664,-104.99869444444444
9,11th-santafe,aztlan denver voice sante fe theater 711 gas is 329 denver works,39.733666666666664,-104.99869444444444
10,11th-santafe,denver voice swifts breakfeast nicks studio brick building nita timeos bar,39.733666666666664,-104.99869444444444
11,11th-santafe,timeos bar 711 gas is 329 swifts breakfeast nicks studio brick building nita tacos selene denver works aztlan,39.733666666666664,-104.99869444444444
12,11th-santafe,aztlan hyder construction denver works swifts breakfeast armstrong dance center quin denver voice brick building nita,39.733666666666664,-104.99869444444444
13,11th-santafe,denver works armstrong dance center swifts breakfeast sante fe theater timeos bar,39.733666666666664,-104.99869444444444
14,11th-santafe,timeos bar nicks studio brick building nita tacos selene hyder construction denver voice sante fe theater swifts breakfeast,39.733666666666664,-104.99869444444444
15,11th-santafe,711 gas is 329 tacos selene armstrong dance center nicks studio quin timeos bar,39.733666666666664,-104.99869444444444
16,11th-santafe,nicks studio armstrong dance center swifts breakfeast denver voice aztlan brick building nita denver works hyder construction,39.733666666666664,-104.99869444444444
17,11th-santafe,timeos bar tacos selene aztlan quin hyder construction denver voice denver works swifts breakfeast armstrong dance center,39.733666666666664,-104.99869444444444
18,11th-santafe,tacos selene quin sante fe theater aztlan timeos bar hyder construction swifts breakfeast,39.733666666666664,-104.99869444444444
19,11th-santafe,denver voice timeos bar hyder construction tacos selene sante fe theater aztlan swifts breakfeast nicks studio,39.733666666666664,-104.99869444444444
20,11th-santafe,sante fe theater armstrong dance center nicks studio swifts breakfeast denver voice hyder construction,39.733666666666664,-104.99869444444444
21,11th-santafe,armstrong dance center 711 gas is 329 tacos selene hyder construction denver works nicks studio brick building nita sante fe theater quin swifts breakfeast,39.733666666666664,-104.99869444444444
22,11th-santafe,sante fe theater denver works nicks studio swifts breakfeast hyder construction,39.733666666666664,-104.99869444444444
23,11th-santafe,711 gas is 329 aztlan denver works tacos selene swifts breakfeast hyder construction,39.733666666666664,-104.99869444444444
24,11th-santafe,quin aztlan 711 gas is 329 denver voice sante fe theater armstrong dance center denver works brick building nita timeos bar hyder construction,39.733666666666664,-104.99869444444444
25,11th-santafe,aztlan sante fe theater denver voice brick building nita 711 gas is 329,39.733666666666664,-104.99869444444444
26,11th-santafe,swifts breakfeast armstrong dance center hyder construction tacos selene sante fe theater quin denver voice,39.733666666666664,-104.99869444444444
27,11th-santafe,tacos selene aztlan 711 gas is 329 timeos bar hyder construction quin nicks studio,39.733666666666664,-104.99869444444444
