,intersection,text_on_sign_exact,code_type,notes,Unnamed: 3,latitude,longitude,zip,city
0,16th-lawrence,colorado athletic club,storefront_main,,,39.74852777777778,-104.99658333333333,80202.0,denver
1,16th-lawrence,rtd,car_signs,,,39.74852777777778,-104.99658333333333,80202.0,denver
2,16th-lawrence,pnc bank,storefront_main,,,39.74852777777778,-104.99658333333333,80202.0,denver
3,16th-lawrence,one way,street_sign,,,39.74852777777778,-104.99658333333333,80202.0,denver
4,16th-lawrence,gusto,storefront_main,,,39.74852777777778,-104.99658333333333,80202.0,denver
5,16th-lawrence,16th street mall,car_signs,,,39.74852777777778,-104.99658333333333,80202.0,denver
6,16th-lawrence,the westin hotel,street_sign,,,39.74852777777778,-104.99658333333333,80202.0,denver
7,16th-lawrence,public parking,street_sign,,,39.74852777777778,-104.99658333333333,80202.0,denver
8,16th-lawrence,free mall ride,car_signs,,,39.74852777777778,-104.99658333333333,80202.0,denver
9,16th-lawrence,lawrence street,street_sign,,,39.74852777777778,-104.99658333333333,80202.0,denver
10,16th-lawrence,38 clear crk xing,car_signs,,,39.74852777777778,-104.99658333333333,80202.0,denver
11,16th-lawrence,right lane only,street_sign,,,39.74852777777778,-104.99658333333333,80202.0,denver
12,16th-lawrence,no parking anytime,street_sign,,,39.74852777777778,-104.99658333333333,80202.0,denver
13,16th-lawrence,saturday and sunday excepted,street_sign,,,39.74852777777778,-104.99658333333333,80202.0,denver
14,16th-lawrence,cu,t-shirt,,,39.74852777777778,-104.99658333333333,80202.0,denver
15,16th-lawrence,ikes love and sandwiches,storefront_main,,,39.74852777777778,-104.99658333333333,80202.0,denver
16,16th-lawrence,farm fresh pork delivered,advertisement,,,39.74852777777778,-104.99658333333333,80202.0,denver
17,16th-lawrence,roofing windows painting remodeling 0 financing formula,advertisement,,,39.74852777777778,-104.99658333333333,80202.0,denver
18,16th-lawrence,arapahoe 16th st public restrooms,street_sign,,,39.74852777777778,-104.99658333333333,80202.0,denver
19,16th-lawrence,no parking anytime,street_sign,,,39.74852777777778,-104.99658333333333,80202.0,denver
20,16th-lawrence,16th street,,,,39.74852777777778,-104.99658333333333,80202.0,denver
21,16th-lawrence,free mall ride rtd,,,,39.74852777777778,-104.99658333333333,80202.0,denver
22,16th-lawrence,38 clear crk xing rtd,,,,39.74852777777778,-104.99658333333333,80202.0,denver
23,16th-lawrence,for lease for lease,,,,39.74852777777778,-104.99658333333333,80202.0,denver
24,16th-lawrence,15 minutes loading only all other times,,,,39.74852777777778,-104.99658333333333,80202.0,denver
25,16th-lawrence,truck loading by permit only all other times,,,,39.74852777777778,-104.99658333333333,80202.0,denver
26,16th-lawrence,street sweeping p this side 2am 6am wednesday monday tow away zone,,,,39.74852777777778,-104.99658333333333,80202.0,denver
27,16th-lawrence,no parking anytime tow away zone,street_sign,,,39.74852777777778,-104.99658333333333,80202.0,denver
28,16th-lawrence,no parking anytime tow away zone,street_sign,,,39.74852777777778,-104.99658333333333,80202.0,denver
29,16th-lawrence,the ride,street_sign,,,39.74852777777778,-104.99658333333333,80202.0,denver
30,16th-lawrence,rtd bus and rail stations,,,,39.74852777777778,-104.99658333333333,80202.0,denver
31,16th-lawrence,free mallride,,,,39.74852777777778,-104.99658333333333,80202.0,denver
32,16th-lawrence,writer square larimer square,,,,39.74852777777778,-104.99658333333333,80202.0,denver
33,16th-arapahoe,wells fargo,storefront_main,,,39.74783333333333,-104.99566666666666,80202.0,denver
34,16th-arapahoe,westin,storefront_main,,,39.74783333333333,-104.99566666666666,80202.0,denver
35,16th-arapahoe,optiv,storefront_main,,,39.74783333333333,-104.99566666666666,80202.0,denver
36,16th-arapahoe,road work ahead,street_sign,,,39.74783333333333,-104.99566666666666,80202.0,denver
37,16th-arapahoe,alfagraphics,storefront_main,,,39.74783333333333,-104.99566666666666,80202.0,denver
38,16th-arapahoe,no parking anytime,street_sign,,,39.74783333333333,-104.99566666666666,80202.0,denver
39,16th-arapahoe,beer garden,advertisement,,,39.74783333333333,-104.99566666666666,80202.0,denver
40,16th-arapahoe,pcl,,,,39.74783333333333,-104.99566666666666,80202.0,denver
41,16th-arapahoe,united,advertisement,,,39.74783333333333,-104.99566666666666,80202.0,denver
42,16th-arapahoe,denver zoo,advertisement,,,39.74783333333333,-104.99566666666666,80202.0,denver
43,16th-arapahoe,one way,street_sign,,,39.74783333333333,-104.99566666666666,80202.0,denver
44,16th-arapahoe,stop here on red,street_sign,,,39.74783333333333,-104.99566666666666,80202.0,denver
45,16th-arapahoe,idependence plaza,,,,39.74783333333333,-104.99566666666666,80202.0,denver
46,16th-arapahoe,juice kitchen,,,,39.74783333333333,-104.99566666666666,80202.0,denver
47,16th-arapahoe,bobcat,,,,39.74783333333333,-104.99566666666666,80202.0,denver
48,16th-arapahoe,gates,storefront_main,,,39.74783333333333,-104.99566666666666,80202.0,denver
