intersection,text_blob,latitude,longitude,zip,city
11th-santafe,hyder construction aztlan swifts breakfeast brick building nita tacos selene timeos bar sante fe theater,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,aztlan swifts breakfeast brick building nita nicks studio 711 gas is 329 tacos selene,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,hyder construction armstrong dance center sante fe theater brick building nita swifts breakfeast nicks studio aztlan 711 gas is 329 denver works timeos bar,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,swifts breakfeast sante fe theater brick building nita hyder construction quin tacos selene denver voice timeos bar,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,sante fe theater aztlan quin nicks studio swifts breakfeast 711 gas is 329 brick building nita hyder construction timeos bar,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,denver voice denver works timeos bar brick building nita nicks studio swifts breakfeast hyder construction 711 gas is 329 aztlan quin,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,denver works quin hyder construction swifts breakfeast denver voice aztlan,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,hyder construction sante fe theater brick building nita timeos bar denver voice tacos selene nicks studio 711 gas is 329 quin,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,quin brick building nita 711 gas is 329 sante fe theater denver voice timeos bar armstrong dance center nicks studio tacos selene denver works,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,brick building nita denver voice swifts breakfeast hyder construction nicks studio sante fe theater,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,hyder construction quin tacos selene swifts breakfeast denver works brick building nita timeos bar nicks studio 711 gas is 329 aztlan,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,timeos bar armstrong dance center nicks studio aztlan swifts breakfeast quin,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,swifts breakfeast timeos bar quin brick building nita hyder construction tacos selene 711 gas is 329 aztlan denver works,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,tacos selene brick building nita 711 gas is 329 sante fe theater denver works,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,swifts breakfeast armstrong dance center denver voice quin 711 gas is 329 nicks studio denver works brick building nita aztlan,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,hyder construction nicks studio timeos bar aztlan 711 gas is 329 denver voice swifts breakfeast brick building nita,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,armstrong dance center quin swifts breakfeast brick building nita denver voice,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,denver works nicks studio denver voice tacos selene timeos bar hyder construction sante fe theater armstrong dance center swifts breakfeast,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,swifts breakfeast brick building nita nicks studio hyder construction sante fe theater tacos selene aztlan denver voice timeos bar,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,quin tacos selene timeos bar hyder construction sante fe theater swifts breakfeast,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,quin sante fe theater armstrong dance center nicks studio swifts breakfeast denver voice aztlan denver works timeos bar hyder construction,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,nicks studio hyder construction tacos selene denver voice timeos bar sante fe theater brick building nita armstrong dance center denver works aztlan,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,brick building nita armstrong dance center 711 gas is 329 quin nicks studio tacos selene,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,hyder construction timeos bar sante fe theater nicks studio armstrong dance center quin 711 gas is 329,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,quin denver voice swifts breakfeast timeos bar sante fe theater,39.733666666666664,-104.99869444444444,80204.0,denver
11th-santafe,quin denver works hyder construction brick building nita armstrong dance center,39.733666666666664,-104.99869444444444,80204.0,denver
